Unnamed: 0,movie_title,kind,number_of_rating,rating_score,classification,release_year,duration,country,genre,Lãng Mạn,Tình Tiết,Thanh Xuân,Thành Thị,Viễn Tưởng,Phim Hài,Bí Ẩn,Hành Động,Cổ Trang,Tình Bạn,Phiêu Lưu,Tội Phạm,Tình Yêu Ngọt Ngào,Gia Đình,Nhiệt Huyết,Kinh Dị,Tiểu Thuyết Chuyển Thể,Other,director,cast,Popularity Levels
689,【Thuyết Minh】Truy Cầu,Phim bộ,3000,8.9,T13,2019,36,Trung Quốc,Thanh Xuân,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Su Hao Qi,"Bốc Quan Kim, whitehairpin, Hoàng Thánh Trì, Ryan, Li Wen Han, Lu Yang Yang,Hanna, Hong Xiao, SayKan, Ken Chang, Zhang Shuang Li, Vivienne Liu, Mercury, Heidi, Zhang Tan, Yang Gen, Coco",-1
690,Siêu Cận Vệ Của Hoa Khôi 3,Phim bộ,42000,8.8,P,2016,12,Trung Quốc,"Viễn Tưởng, Phim Hài, Thành Thị, Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Hsiu-cheng Chang,"Chung Lin, Hoàng Nhất Lâm, Wang Zi Yun, Tiara Huang, Xiong Yu Ting, Xindy, Cherry , Zhang Yi Cong, Chai Hao Wei, Lục Di Tuyền, Auyo Xiang",0
691,Quả Bí Mật,Phim bộ,8000,8.9,T13,2017,24,Trung Quốc,"Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lian Yi Qi,"Trần Triết Viễn, Lý Lan Địch, Yu Zhihui, Lưu Kiếm Vũ, Zhang Yan, Mi Mi, Zheng Kai, LiangBaoling",-1
692,Chung Cư Tình Yêu (bổ  sung),Phim bộ,3000,9.7,T13,2015,4,Trung Quốc,Tình Tiết,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Wei,"MichaelChen, Lâu Nghệ Tiêu, Tôn Nghệ Châu",-1
693,Cẩn Thận Kẻo Bị Nuốt Chửng Đấy,Phim bộ,13000,8.7,T13,2018,12,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Zhang Yong Sheng,"Wan Si Wei, Yining Wang, Sophia, Leo So",0
694,Our Ordinary Days,Phim bộ,27000,9.5,T13,2023,38,Trung Quốc,"Thành Thị, Gia Đình",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Wang Lei,"Lý Tiểu Nhiễm, Lý Nãi Văn, Zhou Yi Ran, Zhou Qi, Song Chun Li, Sun Hao, Qi Xiang, Ren Shuai, Vivi Wang, Wu Siyu, Xu Yongjie, Zhang Yi Cong, Patrick Wang",1
695,Quỷ Sử Thần Việc,Phim bộ,3000,7.2,T16,2019,12,Trung Quốc,"Bí Ẩn, Tình Tiết, Viễn Tưởng, Thành Thị",0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Cao Da Wei,"Feng Jian Yu, Peng Bo, Wang Yun Fan, Siyuan Tao, Vicky, Li Po",-1
696,Bách Lí Dạ Đao,Phim bộ,2000,8.6,T13,2018,38,Trung Quốc,Tình Tiết,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zhao Jun Kai,"Wang Ting, Ding Zhi Cheng, Qian Yong Fu, rebekah, Bao Kun, rebekah, Bao Kun",-1
697,Anh Hùng Vinh Quang,Phim bộ,2000,8.5,T13,2010,26,Trung Quốc,"Chiến Tranh, Thanh Xuân",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lianping Wang,"Fan Zhi Bo, Gao Hu, Xu Yong Ge, Yang Jun Qian, Chen Yu, Yu Zhen, Wang Yan Hui, Ruan Wen Tao",-1
698,Ba Lần Gả Trêu Ghẹo Lòng Quân,Phim bộ,17500,9.1,T13,2020,35,Trung Quốc,"Bí Ẩn, Phim Hài, Thanh Xuân, Cổ Trang, Cổ Đại",0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,Ricky Wong,"Hình Chiêu Lâm, Tiêu Yến, Nie Zi Hao, Hoàng Nhất Lâm, Lý Hạc, Lưu Di Đồng, Khưu Sĩ Luân, Li Xin Bo",1
699,Cậu Là Bố Của Tôi,Phim bộ,2000,7.6,T13,2024,24,Trung Quốc,"Viễn Tưởng, Phim Hài, Thanh Xuân",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BoWen Wang,"Cao Ran Ran, Mã Đông Chấn, Bai De, Du Chen, GUAN PENG",-1
700,Bí Ẩn Núi Jiri (Jirisan),Phim bộ,51400,9.8,T16,2021,16,Hàn Quốc,"Bí Ẩn, Viễn Tưởng, Kinh Dị",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Lee Eung-bok,"Gianna Jun, Ju Ji-hoon, Sung Dong-il , Oh Jung-se, Cho Han-cheul",1
701,Huynh Đệ Ăn Hại 3,Phim bộ,3000,8.7,T13,2015,21,Trung Quốc,"Phim Hài, Thanh Xuân",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yin Qi, JI Zhi","Wang Ning, Xiu Rui, Wei Meng, Wang Yan Zhi, FLASH, Wendy, Zhang Yi Man , Da Bing, Shi Ce, Du Han",-1
702,Tuổi Hai Mươi,Phim bộ,3400,9.1,T13,2020,40,Trung Quốc,"Tổng Tài Bá Đạo, Thành Thị, Tình Bạn, Thanh Xuân",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Li Zhi,"Quan Hiểu Đồng, Kim Thế Giai, Ngưu Tuấn Phong, Bốc Quan Kim, Lý Canh Hy, Đổng Tư Di, Vương An Vũ, Tào Ân Tề, Từ Thiệu Anh",-1
703,Niên Đại Vụt Bay,Phim bộ,11000,9.2,T13,2019,46,Trung Quốc,"Lãng Mạn, Tình Tiết",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xu Zong Zheng,"Đồng Đại Vỹ, Tưởng Hân, Da Zhao, Liang Ai Qi, Xu Xiao Sa, Chen Yi Heng, Jie Li, Michelle Bai, Liu Xiao Hai, Sean",0
704,Trở Về Nhà,Phim bộ,52000,9.3,T13,2022,12,Trung Quốc,"Bí Ẩn, Gia Đình",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Lv Xing,"Wendy Zhang, Wang Yan Hui, Mei Ting, Lý Nãi Văn, Wang Yan Hui",1
705,Nữ giáo viên xinh đẹp,Phim bộ,1000,6.5,P,2015,35,Trung Quốc,"Lãng Mạn, Khoa Học Viễn Tưởng, Thanh Xuân, Tiểu Thuyết Chuyển Thể",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,JI Zhi,"Golden,Golden Zhang, Grace, Kiray Wong, Fufu Yuan, Wang Jie Xi, Eva Li",-1
706,Hoa Nở Ngày Nắng,Phim bộ,4500,8.9,T13,2020,12,Trung Quốc,"Lãng Mạn, Tổng Tài Bá Đạo, Thành Thị, Thanh Xuân, Tiểu Thuyết Chuyển Thể",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Feng Zi Hua,"Xu Zhi Xian, Yin Xiao, Zhao Yue, Fan Meng, Hong Lian Cheng, Qu Hao Jun, Li Chun Er",-1
707,Câu Chuyện Trong Hạnh Phúc,Phim bộ,8000,9.3,T13,2020,42,Trung Quốc,"Lãng Mạn, Gia Đình",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yang Ya Zhou,"JerryLee, Xiaochen Wang, Tô Thanh, Che Xiao",-1
708,Hai Anh Em,Phim bộ,1500,9.2,T13,2020,12,Thái Lan,"Phim Hài, Tình Bạn, Thanh Xuân, Gia Đình",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Eakasit Thairatana,"Sattaphong Phiangphor, Bas Suradet Piniwat, Fang-Thanantorn Neerasingh",-1
709,Thừa Long Quái Tế,Phim bộ,1000,7.6,T13,2005,60,Trung Quốc,"Phim Hài, Cổ Trang",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Xiao Dan,"Trương Tụng Văn, Luo Man Jun, Bany Liang, yoyo, Meng Wei Ming",-1
710,Tình Yêu Tuần Hoàn,Phim bộ,7900,9.3,T13,2021,24,Trung Quốc,"Lãng Mạn, Viễn Tưởng, Thanh Xuân, Tình Yêu Ngọt Ngào, Học Đường, Gia Đình",1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,wangyan,"Thi Bá Vũ, Trần Hạo Vũ, Alan,Gao Mao Tong, Gao Qiu Zi, Yang Gen, Xu Wan Ting",-1
711,Kill Heel Cuộc Chiến Giày Gót Nhọn,Phim bộ,74000,9.5,T13,2022,14,Hàn Quốc,"Tình Tiết, Thành Thị",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lu Dao Zhe,Noh Do Cheol","kim ha neul, Kim Sung Ryoung, Hye Young Lee,Hye-yeong Lee",1
712,Không Phụ Thời Gian,Phim bộ,5700,8.7,T13,2019,38,Trung Quốc,"Thành Thị, Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Fu Dong Yu,"Yue Xi An, Hình Chiêu Lâm, Zhu Yan Man Zi, Owen",-1
713,Dạ Lẫm Thần Thám 1,Phim bộ,1300,8.8,T16,2021,12,Trung Quốc,"Bí Ẩn, Lãng Mạn, Tình Tiết, Cổ Trang, Cổ Đại",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Su Fei,"Chen Zi You, Yang Fu Yu, Li Xi Zi, Zhu Rongjun, Zong Feng Yan",-1
714,Những Người Bạn Thanh Lịch,Phim bộ,88000,9.3,T16,2020,17,Hàn Quốc,"Bí Ẩn, Tình Tiết, Hôn Nhân",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Hyun-Wook Song,"Liu Jun Xiang, Song Yun-ah",1
715,Không bằng chứng,Phim bộ,59000,9.3,T16,2017,12,Trung Quốc,"Tội Phạm, Bí Ẩn, Thành Thị, Thanh Xuân, Tiểu Thuyết Chuyển Thể",0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,Lv Xing,"Tần Hạo, Đặng Gia Giai, Yao Lu, Dai Xu, Vương Chân Nhi, Ninh Lý, Jing Hao, Yuan Man, Zhang Shu",1
716,Nửa Sáng Nửa Mưa - Phần 1,Phim bộ,49000,8.7,T16,2019,12,Trung Quốc,"Lãng Mạn, Tình Tiết, Viễn Tưởng, Tiểu Thuyết Chuyển Thể",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Su Fei,"Yang Fu Yu, Lin Shi Jie, Zhao Cheng Yu, Chen Ye Ling, Li Hao, Marcus, Zang Hongfei, 杨棋珺",0
717,Đãi Vàng,Phim bộ,1500,9.5,T13,2022,12,Trung Quốc,"Bí Ẩn, Phiêu Lưu, Tình Bạn",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Jiang Zhuo Yuan,"Liêu Phàm, Trần Phi Vũ, Lữ Hiểu Lâm",-1
718,"Y Là Y, Hai Là Hai",Phim bộ,30000,9.2,T13,2022,24,Trung Quốc,"Phim Hài, Cổ Trang, Cổ Đại",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,王紫璇,"Jia Bing, Hua Liu, Han Yezhou, Zhu Tian Fu, Song Ning Nv, Yu Li",1
719,你好，先生们,Phim bộ,32000,9.0,T13,2021,12,Trung Quốc,"Lãng Mạn, Tình Tiết, Thành Thị",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wu Xiao Hui,"Yang Tian Tian, 祝康笠, Kong Qi Li, Yixiao Zhao, Luo Chang, Wang Han, Ming Jing,Jing Ming",0
720,Cùng con du học,Phim bộ,15000,8.8,T13,2018,46,Trung Quốc,"Thành Thị, Thanh Xuân, Gia Đình",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Chang Chen,"Mei Ting, Xu Ya Jun, Vivan Wu, Hồ Tiên Hú, Tăng Lê, Trương Triệu Huy, Hao Yang, Wang Quan You, Xi Mei Juan",0
721,Những Rắc Rối Khi Khởi Nghiệp,Phim bộ,51000,9.0,T13,2021,26,other,"Tình Tiết, Thành Thị, Thương Trường",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Xu Zhao Ren, Feng Rui","Ruby Lin, Ivy Chen, Jian Man Shu, Khưu Trạch, Lee Li-Chun",0
